Timestep1X;Timestep1Y;Timestep2X;Timestep2Y;Timestep3X;Timestep3Y;Timestep4X;Timestep4Y;Timestep5X;Timestep5Y;Timestep6X;Timestep6Y;Timestep7X;Timestep7Y;Timestep8X;Timestep8Y;Timestep9X;Timestep9Y;Timestep10X;Timestep10Y;Timestep11X;Timestep11Y;Timestep12X;Timestep12Y;Timestep13X;Timestep13Y;Timestep14X;Timestep14Y;Timestep15X;Timestep15Y;Timestep16X;Timestep16Y;Timestep17X;Timestep17Y;Timestep18X;Timestep18Y;Timestep19X;Timestep19Y;Timestep20X;Timestep20Y;Timestep21X;Timestep21Y;Timestep22X;Timestep22Y;Timestep23X;Timestep23Y;Timestep24X;Timestep24Y;Timestep25X;Timestep25Y;Timestep26X;Timestep26Y;Timestep27X;Timestep27Y;Timestep28X;Timestep28Y;Timestep29X;Timestep29Y;Timestep30X;Timestep30Y;Timestep31X;Timestep31Y;Timestep32X;Timestep32Y;Timestep33X;Timestep33Y;Timestep34X;Timestep34Y;Timestep35X;Timestep35Y;Timestep36X;Timestep36Y;Timestep37X;Timestep37Y;Timestep38X;Timestep38Y;Timestep39X;Timestep39Y;Timestep40X;Timestep40Y;Timestep41X;Timestep41Y;Timestep42X;Timestep42Y;Timestep43X;Timestep43Y;Timestep44X;Timestep44Y;Timestep45X;Timestep45Y;Timestep46X;Timestep46Y;Timestep47X;Timestep47Y;Timestep48X;Timestep48Y;Timestep49X;Timestep49Y;Timestep50X;Timestep50Y;Timestep51X;Timestep51Y;Timestep52X;Timestep52Y;Timestep53X;Timestep53Y;Timestep54X;Timestep54Y;Timestep55X;Timestep55Y;Timestep56X;Timestep56Y;Timestep57X;Timestep57Y;Timestep58X;Timestep58Y;Timestep59X;Timestep59Y;Timestep60X;Timestep60Y
27;21;28;21;27;22;28;22;27;23;27;23;27;24;28;24;27;24;27;23;28;23;27;22;27;22;27;21;27;20;27;20;26;19;25;19;24;20;25;19;26;18;26;18;26;17;25;18;25;18;24;19;24;18;25;18;24;19;25;19;26;19;26;20;25;20;25;20;26;21;25;20;24;20;24;20;25;20;24;21;23;21;24;21;24;20;23;19;24;20;25;19;24;19;23;18;22;18;21;18;21;17;20;16;21;17;22;17;22;17;21;18;21;18;22;17;21;17;20;17
37;54;38;55;37;56;38;57;38;57;39;57;38;56;39;55;38;54;37;55;38;54;37;54;37;53;36;52;35;52;34;52;33;53;32;54;31;55;32;54;33;54;32;55;32;54;33;53;33;53;33;52;33;52;33;51;32;51;33;50;34;51;35;50;35;49;36;50;36;51;36;50;37;50;37;50;38;50;38;50;38;50;38;51;39;52;39;51;40;52;39;52;38;52;39;52;40;51;39;51;38;52;39;53;38;53;37;53;36;54;36;55;36;54;37;54;38;55;38;54
25;36;25;37;24;37;25;37;24;37;25;37;26;37;25;37;25;38;25;38;24;37;25;36;26;36;27;35;27;35;26;35;26;35;25;35;26;34;26;35;27;36;28;35;27;35;26;36;25;37;25;38;24;39;24;39;23;38;23;37;24;37;24;38;25;37;26;38;26;37;27;37;27;37;26;36;27;37;27;36;28;35;29;34;30;35;29;35;30;35;29;36;28;36;28;37;29;37;30;38;30;39;29;40;28;40;27;40;26;40;25;39;25;38;24;39;23;39;22;38
-58;-55;-57;-56;-56;-57;-57;-57;-58;-57;-58;-56;-58;-55;-59;-55;-60;-56;-60;-55;-60;-55;-60;-55;-60;-55;-60;-56;-59;-56;-58;-57;-58;-56;-59;-56;-58;-57;-59;-56;-58;-57;-59;-56;-60;-57;-59;-58;-60;-57;-60;-56;-60;-55;-60;-56;-59;-57;-58;-58;-59;-57;-60;-58;-60;-57;-60;-56;-59;-55;-59;-55;-60;-54;-60;-53;-60;-53;-60;-52;-59;-52;-59;-53;-60;-53;-59;-52;-60;-52;-60;-52;-60;-52;-60;-51;-59;-51;-59;-52;-58;-52;-58;-53;-57;-54;-56;-53;-56;-53;-57;-53;-56;-52;-57;-51;-57;-51;-58;-52
15;30;16;29;17;30;16;30;17;29;17;30;16;31;15;32;15;31;16;31;15;31;16;30;17;29;18;29;19;29;19;28;19;29;20;28;20;28;19;29;20;30;21;30;20;29;20;30;20;29;20;30;19;29;18;29;17;28;17;27;16;26;17;26;16;25;17;26;16;27;17;26;16;25;17;26;18;25;18;25;19;24;20;23;21;24;20;24;21;24;22;25;22;25;23;24;23;23;22;23;22;23;23;24;24;25;24;25;23;25;22;24;21;24;22;23;22;23;21;22
31;-38;31;-39;31;-39;32;-38;33;-39;34;-39;33;-40;32;-40;32;-39;33;-39;33;-39;32;-38;32;-38;33;-37;33;-37;32;-38;33;-39;34;-40;35;-40;35;-40;36;-39;37;-38;38;-39;37;-39;37;-40;37;-39;37;-39;38;-38;39;-39;39;-39;40;-40;39;-39;40;-39;40;-39;39;-39;39;-39;40;-38;41;-39;41;-39;40;-38;39;-38;40;-37;39;-37;40;-36;39;-35;40;-35;41;-35;42;-35;43;-36;44;-36;44;-35;44;-35;44;-34;44;-33;45;-34;46;-34;47;-35;47;-36;48;-35;48;-34
-31;-2;-31;-3;-31;-3;-32;-4;-31;-3;-31;-4;-31;-3;-31;-3;-30;-3;-29;-4;-28;-4;-28;-3;-29;-4;-30;-4;-29;-5;-28;-5;-27;-5;-27;-6;-28;-5;-29;-6;-28;-5;-28;-5;-27;-4;-27;-4;-28;-4;-29;-5;-29;-5;-30;-5;-29;-5;-29;-5;-29;-5;-30;-5;-30;-5;-29;-5;-29;-4;-29;-3;-28;-2;-29;-3;-30;-4;-30;-3;-30;-2;-31;-2;-31;-1;-32;0;-32;0;-31;-1;-31;-1;-30;-2;-29;-1;-30;-2;-29;-1;-29;-1;-30;-1;-29;-2;-28;-2;-27;-3;-26;-3;-26;-2;-25;-2;-25;-3
29;30;28;29;29;30;29;30;29;29;29;28;28;28;29;27;30;27;29;28;30;28;30;27;29;26;28;25;28;26;28;25;28;25;29;24;28;25;28;26;29;26;29;26;28;26;28;25;27;24;27;25;27;25;28;25;29;24;29;25;28;24;29;24;29;24;29;23;29;23;30;24;29;25;30;25;31;25;32;25;31;24;30;23;31;23;31;24;30;25;30;26;29;26;28;26;28;26;27;25;27;24;26;25;26;24;26;24;26;23;25;23;24;24;25;23;26;24;27;25
51;37;52;38;51;37;50;36;50;37;50;38;51;39;51;40;50;41;51;41;52;42;53;43;52;43;52;43;52;42;52;43;51;42;52;43;53;44;52;44;53;45;52;45;52;44;53;44;54;44;53;44;53;45;52;46;52;45;51;46;51;45;51;44;50;45;50;44;49;44;48;43;49;44;50;43;51;43;50;44;51;43;51;43;50;43;50;43;51;42;51;41;52;41;53;41;54;40;55;41;56;40;57;40;58;41;59;41;60;40;59;40;59;39;58;39;57;40;56;39
-40;59;-39;60;-40;60;-40;59;-41;60;-40;59;-41;58;-40;59;-41;58;-42;58;-43;58;-44;57;-45;56;-44;56;-43;56;-44;57;-45;58;-45;57;-44;57;-45;57;-46;57;-47;57;-46;57;-46;56;-46;55;-47;56;-46;56;-47;56;-46;56;-47;55;-48;54;-48;53;-48;54;-48;55;-48;55;-47;54;-47;55;-46;55;-47;56;-47;57;-47;57;-48;58;-48;59;-49;60;-50;59;-51;60;-52;59;-52;60;-52;60;-51;59;-52;58;-51;59;-50;60;-51;60;-50;60;-49;60;-50;59;-50;58;-51;58;-51;59
-33;-15;-32;-16;-31;-15;-32;-16;-31;-15;-31;-16;-32;-15;-33;-16;-33;-15;-32;-15;-31;-16;-31;-17;-30;-17;-29;-16;-29;-16;-28;-16;-28;-15;-27;-15;-27;-15;-27;-16;-26;-17;-26;-17;-27;-18;-27;-19;-27;-18;-27;-17;-26;-18;-27;-19;-27;-19;-28;-18;-29;-17;-28;-16;-28;-17;-28;-17;-29;-16;-28;-17;-27;-18;-27;-17;-27;-17;-26;-16;-25;-15;-26;-14;-27;-15;-28;-14;-29;-13;-29;-12;-29;-12;-30;-12;-29;-11;-30;-12;-30;-12;-29;-12;-28;-12;-27;-12;-28;-13;-27;-14;-28;-13;-28;-13;-28;-13;-27;-14
59;-23;60;-23;59;-24;58;-23;59;-23;59;-23;58;-22;57;-21;58;-22;58;-21;58;-22;57;-21;58;-21;57;-22;56;-21;56;-22;57;-22;57;-22;58;-22;57;-22;58;-21;59;-22;60;-22;59;-21;60;-21;60;-20;60;-20;59;-21;58;-21;58;-21;57;-21;56;-22;56;-22;55;-21;54;-20;53;-19;53;-20;52;-21;51;-22;51;-21;52;-21;52;-21;51;-20;50;-21;51;-21;51;-20;51;-20;51;-21;51;-22;51;-23;52;-22;53;-21;53;-22;54;-23;55;-23;56;-22;55;-23;54;-24;54;-23;53;-22
29;-47;28;-48;29;-48;30;-49;31;-49;32;-50;32;-49;31;-49;30;-49;29;-49;30;-50;30;-51;30;-51;29;-51;29;-51;30;-51;29;-51;30;-52;31;-52;32;-52;33;-51;33;-50;32;-50;32;-49;32;-48;31;-48;32;-49;33;-49;33;-49;34;-49;35;-48;34;-48;35;-47;34;-46;35;-46;35;-46;35;-47;34;-46;34;-47;35;-48;36;-49;37;-50;36;-51;35;-50;35;-50;36;-50;35;-50;36;-49;36;-48;37;-47;37;-47;38;-48;39;-47;38;-47;38;-46;39;-46;38;-47;39;-46;38;-46;39;-47
1;39;1;40;0;39;0;40;1;39;2;40;1;41;2;40;3;40;4;40;3;40;4;39;3;40;3;41;4;40;3;39;4;40;5;40;6;40;7;41;8;40;7;39;6;38;5;38;5;37;6;36;7;36;8;36;8;37;7;37;7;36;8;37;7;38;8;37;8;36;7;35;6;36;5;37;4;38;4;38;5;37;5;38;6;38;5;38;6;39;6;38;5;37;6;36;6;37;7;37;6;37;5;38;6;37;6;38;7;39;8;39;7;39;6;40;6;39;5;38
-28;56;-28;55;-27;56;-27;56;-26;57;-25;56;-26;56;-25;57;-25;57;-24;58;-23;58;-24;57;-24;57;-23;58;-24;57;-24;58;-25;59;-24;60;-24;60;-23;59;-22;58;-21;57;-22;58;-23;57;-23;56;-22;55;-23;54;-23;54;-24;53;-24;53;-23;54;-23;53;-22;54;-22;55;-23;54;-24;53;-23;53;-24;53;-24;54;-23;53;-23;52;-22;51;-23;51;-22;51;-21;51;-22;51;-21;50;-21;49;-21;50;-20;50;-20;50;-19;51;-18;51;-19;50;-18;51;-18;51;-17;51;-17;50;-18;49;-18;49
24;11;23;10;22;9;23;9;22;8;22;8;21;7;20;8;21;8;22;7;22;6;21;6;21;7;21;8;20;7;19;7;20;7;20;6;21;7;21;7;22;6;23;6;24;7;23;7;24;7;24;7;25;6;25;6;25;7;24;7;23;6;24;6;23;5;23;4;23;5;22;4;22;4;22;3;21;3;22;4;21;3;22;4;21;4;20;3;19;2;18;1;18;1;18;1;19;0;19;0;19;-1;20;0;21;-1;20;-2;20;-2;19;-3;20;-4;21;-5;20;-6;19;-6
-26;1;-26;2;-26;2;-26;1;-25;2;-26;2;-27;1;-28;0;-27;0;-28;1;-27;1;-26;2;-26;3;-25;3;-25;3;-26;3;-27;3;-27;3;-27;4;-26;5;-26;6;-25;5;-25;6;-26;5;-25;5;-25;5;-26;4;-25;4;-25;3;-25;3;-25;4;-26;5;-27;6;-28;5;-29;6;-28;6;-27;5;-26;4;-27;3;-27;2;-27;1;-28;1;-28;2;-28;1;-29;0;-29;0;-29;0;-28;1;-27;1;-28;0;-27;-1;-26;-2;-26;-2;-26;-2;-27;-2;-28;-2;-27;-3;-26;-4;-25;-5;-24;-4
-9;-26;-10;-25;-10;-25;-11;-26;-11;-27;-12;-28;-13;-29;-14;-28;-15;-28;-16;-28;-15;-28;-16;-27;-15;-28;-16;-28;-16;-27;-17;-26;-17;-26;-16;-26;-17;-26;-16;-26;-16;-26;-17;-26;-16;-26;-16;-25;-17;-25;-16;-26;-16;-27;-17;-26;-18;-27;-17;-26;-18;-27;-19;-27;-18;-28;-19;-27;-19;-27;-19;-26;-19;-25;-18;-25;-18;-26;-17;-26;-18;-25;-18;-25;-17;-26;-16;-26;-17;-25;-17;-24;-16;-23;-15;-24;-14;-24;-13;-23;-13;-23;-13;-22;-13;-21;-12;-22;-11;-22;-12;-21;-13;-21;-13;-20;-12;-21;-13;-20
-27;-42;-28;-41;-29;-42;-28;-43;-29;-43;-29;-42;-29;-42;-28;-43;-28;-42;-29;-43;-30;-43;-31;-42;-31;-42;-30;-43;-31;-42;-32;-42;-31;-41;-30;-41;-30;-42;-29;-42;-29;-41;-28;-41;-28;-41;-29;-40;-28;-41;-28;-40;-27;-39;-26;-39;-26;-39;-26;-38;-26;-37;-25;-38;-24;-37;-25;-37;-25;-37;-24;-37;-23;-38;-22;-39;-21;-39;-20;-38;-19;-37;-18;-36;-19;-35;-18;-34;-18;-35;-18;-35;-17;-34;-16;-35;-17;-35;-17;-36;-16;-35;-15;-34;-16;-35;-16;-35;-16;-35;-16;-36;-16;-36;-17;-36;-18;-36;-17;-35
-20;-31;-20;-32;-21;-32;-21;-32;-20;-31;-21;-32;-20;-33;-19;-34;-20;-35;-20;-35;-20;-35;-20;-35;-19;-34;-19;-35;-20;-36;-20;-36;-21;-35;-21;-36;-20;-35;-20;-36;-20;-37;-19;-36;-19;-35;-18;-34;-18;-33;-18;-33;-19;-32;-20;-33;-19;-32;-18;-33;-19;-33;-20;-34;-20;-35;-20;-34;-19;-33;-19;-34;-20;-33;-20;-32;-21;-33;-22;-34;-23;-35;-24;-34;-25;-35;-24;-36;-25;-37;-25;-38;-26;-37;-25;-36;-26;-37;-25;-36;-24;-37;-24;-36;-23;-37;-24;-37;-25;-38;-25;-39;-24;-38;-23;-37;-23;-37;-22;-36
-10;17;-11;16;-12;17;-12;17;-13;17;-14;16;-13;16;-13;17;-12;18;-12;19;-11;18;-10;17;-11;17;-12;18;-11;18;-10;18;-11;18;-11;17;-10;17;-9;18;-8;18;-7;18;-6;18;-5;19;-4;19;-4;18;-5;19;-5;19;-6;18;-5;19;-4;20;-4;19;-5;20;-6;21;-7;22;-7;21;-8;20;-7;20;-8;20;-9;21;-9;20;-8;20;-7;20;-8;20;-7;19;-7;18;-8;18;-7;17;-6;16;-7;16;-6;16;-5;16;-5;16;-4;17;-3;18;-2;18;-2;18;-3;18;-3;18;-3;18
-14;23;-14;23;-14;24;-14;25;-13;24;-13;24;-13;23;-12;23;-13;24;-13;24;-12;24;-13;23;-12;23;-12;24;-11;24;-11;25;-11;26;-11;26;-11;26;-10;25;-9;25;-9;24;-8;23;-7;23;-6;22;-7;21;-8;20;-9;21;-8;20;-8;19;-7;20;-6;21;-5;21;-4;22;-3;23;-4;23;-3;23;-4;23;-3;22;-4;22;-5;22;-4;23;-5;24;-5;25;-5;26;-4;26;-5;25;-5;24;-5;23;-4;24;-4;24;-3;24;-4;23;-5;24;-6;24;-7;23;-8;24;-9;25;-9;24;-10;25
21;52;22;52;22;51;22;52;23;53;22;54;21;55;21;55;20;55;20;56;19;57;18;57;18;57;18;57;17;57;17;57;18;56;18;55;18;55;19;55;18;56;18;57;19;56;19;57;19;56;19;57;18;57;19;57;20;57;19;56;19;55;18;55;17;54;16;54;15;55;14;54;14;55;13;54;12;53;13;52;12;52;13;51;12;50;11;49;12;50;12;49;13;49;12;48;11;49;10;48;9;49;9;50;10;51;10;52;10;51;11;52;10;53;9;52;8;52;8;52
-3;-36;-4;-35;-4;-34;-4;-33;-3;-34;-3;-33;-3;-32;-4;-33;-4;-34;-5;-33;-5;-34;-6;-35;-5;-35;-5;-36;-6;-37;-5;-38;-4;-37;-3;-38;-2;-39;-1;-39;0;-39;1;-38;1;-38;1;-38;2;-37;3;-36;4;-37;5;-36;4;-37;5;-37;6;-36;7;-35;8;-36;8;-35;9;-34;10;-34;10;-33;11;-34;11;-35;12;-34;12;-33;13;-34;14;-33;13;-33;12;-34;13;-34;13;-33;13;-34;13;-35;13;-35;14;-34;13;-35;14;-34;14;-35;15;-35;14;-36;14;-35;14;-35;14;-35;14;-34
14;-21;14;-20;14;-19;15;-19;15;-19;16;-20;17;-19;17;-20;16;-20;15;-20;14;-20;13;-21;14;-22;13;-21;13;-22;13;-23;14;-23;14;-22;15;-21;15;-21;14;-20;14;-21;15;-21;16;-20;17;-21;17;-22;17;-22;16;-21;17;-21;16;-22;15;-21;16;-22;17;-22;18;-22;18;-21;19;-22;20;-23;19;-23;18;-24;18;-24;17;-23;17;-22;16;-23;15;-22;14;-23;15;-22;14;-21;15;-21;16;-20;17;-20;18;-20;19;-20;20;-19;19;-19;20;-19;20;-19;21;-20;22;-20;21;-20;21;-21
-4;27;-3;28;-4;29;-4;29;-3;29;-3;28;-4;28;-3;28;-3;27;-2;28;-3;27;-3;28;-4;29;-4;29;-4;30;-3;30;-2;31;-2;30;-2;29;-2;30;-2;29;-2;28;-1;29;-2;29;-1;29;0;29;-1;28;-2;28;-3;27;-2;26;-1;25;0;24;1;24;1;23;0;22;-1;23;-1;24;-1;23;-1;24;-1;25;-2;26;-3;26;-3;26;-2;27;-2;28;-2;29;-3;30;-4;29;-4;30;-3;31;-4;32;-4;32;-4;31;-4;32;-3;32;-4;33;-4;33;-5;34;-5;33;-6;34
-38;-47;-39;-48;-40;-47;-40;-48;-39;-49;-40;-48;-39;-48;-38;-49;-37;-48;-38;-47;-37;-48;-36;-49;-36;-50;-37;-50;-38;-51;-38;-50;-38;-50;-39;-49;-40;-48;-41;-49;-42;-50;-42;-49;-41;-48;-40;-48;-40;-47;-40;-46;-41;-47;-41;-48;-40;-48;-40;-49;-41;-48;-42;-49;-41;-49;-40;-50;-41;-51;-40;-50;-40;-50;-39;-50;-39;-49;-38;-49;-38;-49;-37;-50;-36;-51;-37;-50;-38;-50;-37;-50;-36;-50;-36;-51;-37;-50;-38;-49;-38;-49;-37;-50;-36;-50;-36;-51;-35;-50;-35;-51;-35;-52;-35;-53;-36;-52;-37;-52
-13;-35;-13;-36;-14;-35;-15;-34;-16;-35;-15;-34;-15;-33;-15;-34;-16;-33;-15;-34;-14;-33;-15;-32;-16;-31;-15;-31;-14;-32;-14;-33;-14;-33;-15;-33;-16;-32;-16;-31;-17;-30;-18;-30;-19;-31;-19;-31;-19;-32;-18;-32;-19;-31;-20;-31;-19;-31;-19;-31;-20;-31;-21;-32;-21;-33;-21;-33;-21;-34;-22;-34;-22;-33;-21;-33;-20;-33;-19;-33;-19;-33;-20;-33;-19;-32;-18;-32;-17;-31;-18;-31;-18;-31;-18;-30;-18;-30;-19;-29;-20;-28;-20;-28;-21;-29;-21;-28;-20;-29;-19;-28;-20;-29;-21;-28;-21;-29;-20;-30
-39;41;-38;42;-39;41;-38;40;-37;40;-38;39;-37;38;-36;37;-36;37;-35;38;-34;39;-34;39;-33;40;-33;39;-32;40;-33;41;-32;42;-31;42;-30;43;-31;44;-30;43;-29;42;-29;41;-30;42;-31;43;-30;43;-31;42;-32;42;-32;43;-32;44;-32;45;-31;44;-30;43;-30;43;-30;43;-31;44;-32;44;-32;43;-33;44;-33;43;-34;42;-33;43;-34;43;-34;42;-33;41;-32;41;-31;41;-32;40;-31;39;-30;40;-31;41;-30;40;-31;41;-30;41;-29;40;-30;39;-29;40;-28;40;-27;39;-26;39
-44;26;-45;27;-46;28;-45;28;-46;29;-47;28;-47;29;-46;28;-45;27;-45;27;-46;26;-46;26;-45;27;-45;28;-46;29;-46;29;-45;28;-44;29;-43;29;-44;29;-44;29;-45;30;-45;30;-45;31;-45;31;-44;30;-43;30;-43;30;-42;30;-41;30;-40;29;-41;28;-42;29;-43;29;-43;28;-43;29;-42;29;-42;29;-43;30;-43;29;-42;28;-41;27;-40;28;-41;27;-40;26;-41;27;-41;28;-40;27;-39;27;-39;27;-40;28;-41;29;-40;30;-39;31;-40;32;-40;31;-41;30;-41;30;-40;31;-41;31
8;-39;7;-38;8;-39;9;-38;9;-38;8;-39;9;-39;10;-40;10;-40;10;-40;11;-41;11;-41;12;-40;13;-39;14;-38;15;-39;15;-38;15;-39;14;-39;14;-39;13;-40;14;-40;15;-39;15;-38;16;-39;16;-40;17;-40;17;-40;18;-41;18;-42;17;-41;16;-42;15;-43;16;-43;15;-43;14;-43;13;-43;14;-43;13;-44;13;-43;12;-42;13;-43;12;-43;11;-44;11;-43;12;-44;12;-45;11;-45;12;-44;11;-43;12;-44;11;-43;10;-44;9;-44;8;-45;8;-44;8;-43;8;-42;8;-42;7;-41
47;-13;47;-13;47;-14;48;-15;48;-14;47;-15;48;-15;48;-15;48;-14;48;-13;49;-12;49;-12;49;-12;50;-13;49;-12;48;-11;49;-10;49;-11;49;-11;48;-10;48;-11;48;-10;49;-9;50;-8;51;-8;52;-8;52;-7;52;-6;51;-7;50;-8;51;-8;50;-7;49;-6;50;-6;50;-7;50;-8;51;-8;51;-7;51;-8;50;-7;50;-6;49;-6;49;-7;49;-7;49;-8;48;-7;48;-8;47;-7;46;-6;45;-7;46;-8;46;-7;46;-7;45;-8;44;-8;44;-9;45;-9;44;-10;45;-10;44;-11
-50;60;-51;59;-51;58;-52;59;-51;60;-51;60;-50;60;-51;60;-52;60;-51;60;-50;60;-50;59;-50;59;-50;58;-50;58;-50;57;-50;57;-51;57;-50;58;-50;59;-51;60;-51;60;-50;60;-50;59;-50;60;-49;60;-50;60;-49;60;-50;59;-49;58;-50;59;-51;58;-52;57;-53;58;-52;59;-51;60;-51;60;-52;59;-51;58;-50;58;-49;58;-50;58;-49;57;-49;58;-50;57;-51;57;-51;58;-52;58;-53;59;-52;59;-53;60;-53;60;-53;60;-52;59;-51;58;-51;59;-51;59;-51;60;-52;59;-53;60
33;22;32;21;33;21;33;22;32;23;32;23;33;24;32;24;31;23;30;23;29;22;29;21;28;21;29;21;30;21;30;20;30;21;31;21;31;21;32;21;33;20;34;20;33;20;34;19;33;18;34;17;33;18;34;17;35;17;35;17;36;16;37;17;36;18;35;18;36;17;37;16;36;16;36;16;35;15;35;16;36;17;36;18;35;18;36;18;37;19;36;19;37;19;38;20;39;19;39;18;40;17;40;17;39;18;39;18;40;17;41;16;40;15;40;15;41;16;40;16
-46;49;-47;50;-46;50;-47;50;-48;49;-49;48;-50;48;-49;47;-48;47;-47;46;-46;45;-45;44;-46;43;-47;43;-48;44;-48;43;-48;44;-47;43;-48;43;-49;43;-50;44;-50;43;-50;44;-49;43;-48;43;-49;44;-49;43;-50;43;-49;42;-48;43;-49;44;-49;45;-49;45;-50;45;-51;45;-50;45;-49;45;-48;44;-47;45;-47;45;-46;44;-46;45;-45;46;-45;45;-45;44;-44;45;-45;45;-44;46;-45;46;-45;47;-45;46;-44;46;-43;47;-43;46;-42;45;-42;44;-43;43;-42;42;-43;41;-42;42
30;-10;30;-9;30;-9;31;-10;30;-9;31;-8;30;-7;29;-6;28;-5;28;-6;29;-7;30;-8;29;-7;30;-6;29;-6;29;-5;28;-5;29;-5;30;-5;30;-6;29;-5;28;-5;27;-4;28;-5;27;-4;26;-5;26;-5;27;-6;26;-5;25;-4;26;-3;27;-4;27;-4;26;-5;25;-6;26;-5;26;-5;25;-6;26;-7;26;-6;26;-6;26;-7;26;-6;26;-7;26;-8;27;-7;28;-7;28;-7;27;-6;28;-6;28;-6;27;-5;28;-5;28;-5;28;-5;27;-4;26;-3;25;-3;26;-4;26;-3
-26;-58;-26;-57;-26;-56;-26;-55;-27;-54;-27;-53;-27;-53;-28;-53;-28;-54;-28;-53;-27;-52;-26;-53;-27;-54;-27;-54;-27;-54;-28;-53;-28;-52;-27;-53;-28;-54;-27;-55;-26;-55;-26;-55;-27;-56;-26;-55;-26;-56;-25;-56;-24;-57;-25;-58;-24;-58;-24;-58;-25;-57;-25;-58;-26;-57;-25;-57;-26;-57;-26;-57;-27;-56;-26;-55;-26;-54;-27;-55;-26;-56;-25;-57;-24;-58;-24;-59;-25;-59;-24;-60;-23;-60;-23;-60;-23;-60;-23;-60;-24;-60;-25;-60;-26;-59;-27;-60;-27;-60;-27;-60;-26;-59;-25;-60;-26;-59;-27;-58
-28;-19;-27;-18;-27;-19;-28;-19;-27;-20;-27;-21;-26;-20;-26;-19;-27;-19;-27;-20;-27;-19;-28;-18;-29;-17;-28;-18;-28;-19;-29;-20;-29;-20;-30;-19;-30;-20;-31;-20;-30;-20;-31;-20;-31;-20;-32;-19;-33;-18;-32;-18;-33;-18;-34;-17;-35;-16;-34;-16;-33;-15;-33;-16;-34;-15;-35;-15;-35;-14;-34;-14;-34;-13;-33;-13;-34;-12;-33;-12;-33;-12;-32;-13;-33;-14;-33;-15;-34;-15;-35;-14;-36;-13;-37;-13;-38;-13;-38;-14;-39;-14;-39;-14;-40;-14;-41;-15;-40;-16;-39;-17;-39;-16;-40;-15;-40;-16;-40;-15
23;-42;22;-42;21;-42;22;-42;21;-43;20;-42;21;-41;20;-42;19;-41;20;-41;20;-42;20;-42;20;-42;21;-42;22;-43;21;-43;22;-42;21;-43;20;-42;19;-43;19;-42;18;-43;17;-43;17;-42;17;-43;16;-44;15;-44;14;-45;14;-46;15;-46;15;-46;16;-45;15;-45;16;-46;17;-47;16;-47;17;-48;16;-48;16;-49;16;-50;17;-49;17;-48;18;-47;19;-46;20;-46;19;-47;18;-46;17;-45;18;-44;19;-43;18;-44;19;-44;19;-43;20;-44;20;-45;20;-46;20;-45;21;-46;21;-46;21;-45
-45;12;-46;11;-45;12;-45;12;-44;13;-45;12;-45;11;-45;12;-46;11;-46;11;-47;11;-47;11;-48;10;-49;11;-48;11;-49;12;-48;11;-47;10;-48;9;-49;10;-50;11;-51;10;-52;9;-51;9;-50;8;-51;7;-50;8;-51;8;-52;7;-53;8;-54;9;-54;8;-54;9;-54;8;-55;8;-56;8;-55;8;-55;9;-54;10;-53;11;-52;11;-51;12;-50;13;-51;12;-51;11;-50;10;-49;11;-50;10;-50;11;-49;11;-48;12;-49;11;-48;11;-49;11;-48;11;-48;12;-49;13;-49;13;-50;13;-50;14
